row_id,product_url,product_name,price,color,reference_number,description,image_url,product_category,extracted_at
1,https://www.zara.com/es/en/reversible-double-faced-faux-fur-jacket-p03046381.html,REVERSIBLE DOUBLE-FACED FAUX FUR JACKET,59.95 EUR,DARK BROWN,3046/381/716,Jacket featuring a lapel collar and long sleeves. Front pockets. Combined fabric with a faux fur interior and faux suede exterior. Crossover button-up front fastening.,Not available,JACKETS,2026-01-28T17:54:17+00:00
2,https://www.zara.com/es/en/faux-leather-jacket-p04391892.html,FAUX LEATHER JACKET,59.95 EUR,BROWN,4391/892/700,Jacket with a stand-up collar and long sleeves with tab detail on the shoulders. Side pockets. Contrasting lining. Zip-up fastening with a snap-button placket on the front.,https://static.zara.net/assets/public/b592/c868/ccb44bc79108/6475fe067ccd/04341892700-e1/04341892700-e1.jpg?ts=1767956834028&w=4800,JACKETS,2026-01-28T17:54:22+00:00
3,https://www.zara.com/es/en/high-neck-buttoned-blazer-zw-collection-p02237570.html,HIGH NECK BUTTONED BLAZER ZW COLLECTION,79.95 EUR,BLACK,2237/570/800,ZARA WOMAN COLLECTION  High neck long sleeve blazer with vents and buttons on the cuffs. Featuring false front welt pockets and front fastening with embossed metal buttons.,https://static.zara.net/assets/public/50cb/3f35/20784ac09453/fb0e66be110b/02237570800-e1/02237570800-e1.jpg?ts=1768478738869&w=4800,JACKETS,2026-01-28T17:54:27+00:00
4,https://www.zara.com/es/en/double-breasted-oversize-blazer-p02753122.html,DOUBLE-BREASTED OVERSIZE BLAZER,39.95 EUR,BLACK,2753/122/800,Loose-fitting blazer with a lapel collar and long sleeves with shoulder pads. Featuring front flap pockets and double-breasted button fastening at the front.,https://static.zara.net/assets/public/7125/eca2/d8d44915a83d/cdda1d7918d0/02753122800-000-e1/02753122800-000-e1.jpg?ts=1762181640263&w=4800,JACKETS,2026-01-28T17:54:32+00:00
5,https://www.zara.com/es/en/faux-suede-jacket-p08490705.html,FAUX SUEDE JACKET,49.95 EUR,DARK TAN,8490/705/709,Jacket with a lapel collar and long sleeves with elastic cuffs. Welt pockets at the sides. Elastic hem. Interior lining. Front metal zip fastening.,https://static.zara.net/assets/public/d574/a1ea/ac7a4e24ad77/abc2a075b8db/08490705709-e1/08490705709-e1.jpg?ts=1768232189518&w=4800,JACKETS,2026-01-28T17:54:37+00:00
6,https://www.zara.com/es/en/100-suede-leather-biker-jacket-with-covered-buttons-p04341792.html,100% SUEDE LEATHER BIKER JACKET WITH COVERED BUTTONS,149.00 EUR,CHARCOAL,4341/792/822,Biker-style jacket with a main fabric made from 100% suede leather. Featuring a high collar and long sleeves with a shoulder tab. Welt pockets on the front. Elasticated hem. Tonal interior lining. Crossover front fastening with a metal zip concealed by a placket and covered buttons.,https://static.zara.net/assets/public/61a5/55b4/341a4033b46e/71212eb45363/04341792822-e1/04341792822-e1.jpg?ts=1768229514528&w=4800,JACKETS,2026-01-28T17:54:42+00:00
7,https://www.zara.com/es/en/blazer-with-rolled-up-printed-cuffs-p02215518.html,PRINTED CUFF BLAZER,39.95 EUR,BLACK,2215/518/800,"Blazer with a lapel collar and long sleeve with shoulder pads, finished with a turn-up combined cuff. Front flap pockets. Front button fastening.",https://static.zara.net/assets/public/ed1e/54fe/64c14612ac4d/ead31a1f0a03/02215518800-e1/02215518800-e1.jpg?ts=1768491225321&w=4800,JACKETS,2026-01-28T17:54:47+00:00
8,https://www.zara.com/es/en/suede-effect-bomber-jacket-p04344655.html,SUEDE EFFECT BOMBER JACKET,49.95 EUR,MID KHAKI,4344/655/533,Long sleeve bomber jacket with a lapel collar and shoulder tabs. Hem finished with pleats and volume. Front fastening with a fly front and hidden buttons.,https://static.zara.net/assets/public/2e64/e8fe/6c9149158fab/1f371345e02a/04344655533-e1/04344655533-e1.jpg?ts=1753195728391&w=4800,JACKETS,2026-01-28T17:54:53+00:00
9,https://www.zara.com/es/en/textured-metallic-thread-blazer-p02293650.html,TEXTURED METALLIC THREAD BLAZER,49.95 EUR,BLACK / ECRU,2293/650/093,Blazer with a high neck and long sleeves with shoulder pads. Featuring side vents and tabs. Textured fabric with metallic thread. Front button fastening.,https://static.zara.net/assets/public/07ed/e1ec/bbed48fe907c/8f4547f74971/02293650093-e1/02293650093-e1.jpg?ts=1768486860271&w=4800,JACKETS,2026-01-28T17:54:58+00:00
10,https://www.zara.com/es/en/wool-blend-zip-up-jacket-zw-collection-p08491045.html,WOOL BLEND JACKET WITH ZIP ZW COLLECTION,69.95 EUR,BROWN / TAUPE,8491/045/737,ZARA WOMAN COLLECTION  Jacket with main fabric made of spun wool blend. Lapel collar and long sleeves. Front pockets. Asymmetric hem. Front fastening with a metal zip.,https://static.zara.net/assets/public/72a4/0daa/58ef4020b193/22b657ae05d5/08491045737-e1/08491045737-e1.jpg?ts=1768565784533&w=4800,JACKETS,2026-01-28T17:55:04+00:00
11,https://www.zara.com/es/en/knit-bomber-jacket-p09598170.html,KNIT BOMBER JACKET,49.95 EUR,ANTHRACITE GREY,9598/170/801,Bomber-style jacket with a high neck and long sleeves. Featuring elasticated ruffled trims and a front fastening with concealed snap buttons.,Not available,JACKETS,2026-01-28T17:55:09+00:00
