scope,metric,mean,std,n
clip,item_relevance,3.8305,0.9087,118
clip,occasion_appropriateness,3.8462,0.7399,78
clip,explanation_quality,3.1186,0.8689,118
clip,set_answer_relevance,3.1333,1.008,30
fashion_clip,item_relevance,4.161,0.8865,118
fashion_clip,occasion_appropriateness,3.9103,0.8403,78
fashion_clip,explanation_quality,3.178,0.8636,118
fashion_clip,set_answer_relevance,3.3667,1.129,30
random,item_relevance,1.5133,0.9029,150
random,occasion_appropriateness,2.5619,0.9398,105
random,explanation_quality,1.02,0.1405,150
random,set_answer_relevance,1.5667,0.8172,30
parser,parser_completeness,3.4667,1.1666,30
parser,parser_no_hallucination,4.9333,0.2537,30
parser,parser_occasion_detection,4.1667,1.3412,30
cross_model,clip_wins,1.0,,30
cross_model,fashionclip_wins,15.0,,30
cross_model,ties,14.0,,30
