scope,metric,mean,std,n
clip,item_relevance,3.25,0.7164,20
clip,occasion_appropriateness,3.2,0.6959,20
clip,explanation_quality,2.55,0.7592,20
clip,set_answer_relevance,3.0,0.0,2
fashion_clip,item_relevance,3.0,0.4588,20
fashion_clip,occasion_appropriateness,3.6,0.5982,20
fashion_clip,explanation_quality,3.1,0.9119,20
fashion_clip,set_answer_relevance,2.0,0.0,2
random,item_relevance,1.3,0.4702,20
random,occasion_appropriateness,1.7,0.7327,20
random,explanation_quality,1.0,0.0,20
random,set_answer_relevance,1.0,0.0,2
parser,parser_completeness,3.5,0.7071,2
parser,parser_no_hallucination,5.0,0.0,2
parser,parser_occasion_detection,5.0,0.0,2
cross_model,clip_wins,0.0,,2
cross_model,fashionclip_wins,2.0,,2
cross_model,ties,0.0,,2
