scope,metric,mean,std,n
clip,item_relevance,3.3333,0.8997,15
clip,occasion_appropriateness,3.4667,0.6399,15
clip,explanation_quality,2.8667,0.8338,15
clip,set_answer_relevance,2.0,0.0,3
fashion_clip,item_relevance,3.6667,0.7237,15
fashion_clip,occasion_appropriateness,3.7333,0.4577,15
fashion_clip,explanation_quality,3.4667,0.8338,15
fashion_clip,set_answer_relevance,3.0,1.0,3
random,item_relevance,1.1333,0.3519,15
random,occasion_appropriateness,1.7333,0.7037,15
random,explanation_quality,1.0,0.0,15
random,set_answer_relevance,1.0,0.0,3
parser,parser_completeness,4.0,1.0,3
parser,parser_no_hallucination,5.0,0.0,3
parser,parser_occasion_detection,5.0,0.0,3
cross_model,clip_wins,0.0,,3
cross_model,fashionclip_wins,3.0,,3
cross_model,ties,0.0,,3
