scope,metric,mean,std,n
clip,item_relevance,3.348,1.1594,250
clip,occasion_appropriateness,3.835,0.8434,200
clip,explanation_quality,1.004,0.0632,250
clip,set_answer_relevance,3.06,0.8668,50
fashion_clip,item_relevance,3.804,1.0285,250
fashion_clip,occasion_appropriateness,4.0,0.8624,200
fashion_clip,explanation_quality,1.032,0.1764,250
fashion_clip,set_answer_relevance,3.44,0.8609,50
random,item_relevance,1.4,0.8066,250
random,occasion_appropriateness,2.475,0.9921,200
random,explanation_quality,1.0,0.0,250
random,set_answer_relevance,1.6,0.7284,50
parser,parser_completeness,4.04,1.0294,50
parser,parser_no_hallucination,4.96,0.1979,50
parser,parser_occasion_detection,4.42,1.3107,50
cross_model,clip_wins,9.0,,50
cross_model,fashionclip_wins,39.0,,50
cross_model,ties,2.0,,50
