scope,metric,mean,std,n
clip,item_relevance,4.0909,0.99,88
clip,occasion_appropriateness,,,0
clip,explanation_quality,3.3977,1.0119,88
clip,set_answer_relevance,3.5909,1.2596,22
fashion_clip,item_relevance,4.1818,0.9535,88
fashion_clip,occasion_appropriateness,,,0
fashion_clip,explanation_quality,3.6818,0.929,88
fashion_clip,set_answer_relevance,3.6364,1.2168,22
random,item_relevance,1.4467,0.7098,150
random,occasion_appropriateness,,,0
random,explanation_quality,1.0333,0.1801,150
random,set_answer_relevance,1.1,0.3051,30
parser,parser_completeness,4.8667,0.4342,30
parser,parser_no_hallucination,4.9667,0.1826,30
parser,parser_occasion_detection,5.0,0.0,30
cross_model,clip_wins,2.0,,22
cross_model,fashionclip_wins,7.0,,22
cross_model,ties,13.0,,22
