Condition,N,Evaluated,Scope,Rubric,Model,Mean,Std
Relevance + Occasion,55,55,Parser,parser_completeness,—,3.65,1.14
Relevance + Occasion,55,55,Parser,parser_no_hallucination,—,4.89,0.37
Relevance + Occasion,55,55,Parser,parser_occasion_detection,—,4.47,1.12
Relevance + Occasion,55,275,Item,item_relevance,Random,1.43,0.81
Relevance + Occasion,55,225,Item,occasion_appropriateness,Random,2.36,0.92
Relevance + Occasion,55,275,Item,explanation_quality,Random,1.01,0.1
Relevance + Occasion,55,55,Set,set_answer_relevance,Random,1.44,0.76
Relevance + Occasion,55,205,Item,item_relevance,CLIP,3.8,0.97
Relevance + Occasion,55,160,Item,occasion_appropriateness,CLIP,3.73,0.91
Relevance + Occasion,55,205,Item,explanation_quality,CLIP,3.01,0.93
Relevance + Occasion,55,50,Set,set_answer_relevance,CLIP,3.18,1.1
Relevance + Occasion,55,205,Item,item_relevance,FashionCLIP,4.05,0.93
Relevance + Occasion,55,160,Item,occasion_appropriateness,FashionCLIP,3.81,0.88
Relevance + Occasion,55,205,Item,explanation_quality,FashionCLIP,3.11,0.9
Relevance + Occasion,55,50,Set,set_answer_relevance,FashionCLIP,3.28,1.13
Relevance + Occasion,55,50,Cross-Model,clip_win_rate,CLIP,10.0,
Relevance + Occasion,55,50,Cross-Model,fashionclip_win_rate,FashionCLIP,52.0,
Relevance + Occasion,55,50,Cross-Model,tie_rate,—,38.0,
Relevance Only,50,50,Parser,parser_completeness,—,3.54,1.22
Relevance Only,50,50,Parser,parser_no_hallucination,—,4.92,0.34
Relevance Only,50,50,Parser,parser_occasion_detection,—,4.32,1.36
Relevance Only,50,250,Item,item_relevance,Random,1.45,0.7
Relevance Only,50,200,Item,occasion_appropriateness,Random,2.32,0.96
Relevance Only,50,250,Item,explanation_quality,Random,1.0,0.06
Relevance Only,50,50,Set,set_answer_relevance,Random,1.46,0.61
Relevance Only,50,250,Item,item_relevance,CLIP,3.5,1.0
Relevance Only,50,200,Item,occasion_appropriateness,CLIP,3.73,0.79
Relevance Only,50,250,Item,explanation_quality,CLIP,2.88,0.97
Relevance Only,50,50,Set,set_answer_relevance,CLIP,2.92,0.99
Relevance Only,50,250,Item,item_relevance,FashionCLIP,3.78,0.98
Relevance Only,50,200,Item,occasion_appropriateness,FashionCLIP,3.94,0.76
Relevance Only,50,250,Item,explanation_quality,FashionCLIP,3.07,0.95
Relevance Only,50,50,Set,set_answer_relevance,FashionCLIP,3.2,1.03
Relevance Only,50,50,Cross-Model,clip_win_rate,CLIP,12.0,
Relevance Only,50,50,Cross-Model,fashionclip_win_rate,FashionCLIP,82.0,
Relevance Only,50,50,Cross-Model,tie_rate,—,6.0,
