scope,metric,mean,std,n
clip,item_relevance,4.7364,0.6557,129
clip,occasion_appropriateness,,,0
clip,explanation_quality,4.0543,0.7936,129
clip,set_answer_relevance,4.2143,1.228,28
fashion_clip,item_relevance,4.7287,0.6703,129
fashion_clip,occasion_appropriateness,,,0
fashion_clip,explanation_quality,4.186,0.7981,129
fashion_clip,set_answer_relevance,4.2857,1.0838,28
random,item_relevance,1.4533,0.8638,150
random,occasion_appropriateness,,,0
random,explanation_quality,1.06,0.2383,150
random,set_answer_relevance,1.2667,0.5833,30
parser,parser_completeness,4.8333,0.5307,30
parser,parser_no_hallucination,5.0,0.0,30
parser,parser_occasion_detection,5.0,0.0,30
cross_model,clip_wins,3.0,,28
cross_model,fashionclip_wins,18.0,,28
cross_model,ties,7.0,,28
