Condition,N,Evaluated,Scope,Rubric,Model,Mean,Std
Relevance + Occasion,50,50,Parser,parser_completeness,—,3.62,1.18
Relevance + Occasion,50,50,Parser,parser_no_hallucination,—,4.92,0.34
Relevance + Occasion,50,50,Parser,parser_occasion_detection,—,4.36,1.31
Relevance + Occasion,50,250,Item,item_relevance,Random,1.5,0.77
Relevance + Occasion,50,190,Item,occasion_appropriateness,Random,2.43,0.98
Relevance + Occasion,50,250,Item,explanation_quality,Random,1.0,0.0
Relevance + Occasion,50,50,Set,set_answer_relevance,Random,1.52,0.58
Relevance + Occasion,50,250,Item,item_relevance,CLIP,3.3,0.98
Relevance + Occasion,50,190,Item,occasion_appropriateness,CLIP,3.64,0.76
Relevance + Occasion,50,250,Item,explanation_quality,CLIP,2.83,0.88
Relevance + Occasion,50,50,Set,set_answer_relevance,CLIP,2.58,0.88
Relevance + Occasion,50,250,Item,item_relevance,FashionCLIP,3.6,1.01
Relevance + Occasion,50,190,Item,occasion_appropriateness,FashionCLIP,3.96,0.73
Relevance + Occasion,50,250,Item,explanation_quality,FashionCLIP,3.06,0.95
Relevance + Occasion,50,50,Set,set_answer_relevance,FashionCLIP,3.26,1.01
Relevance + Occasion,50,50,Cross-Model,clip_win_rate,CLIP,12.0,
Relevance + Occasion,50,50,Cross-Model,fashionclip_win_rate,FashionCLIP,80.0,
Relevance + Occasion,50,50,Cross-Model,tie_rate,—,8.0,
Relevance Only,50,50,Parser,parser_completeness,—,3.54,1.22
Relevance Only,50,50,Parser,parser_no_hallucination,—,4.92,0.34
Relevance Only,50,50,Parser,parser_occasion_detection,—,4.32,1.36
Relevance Only,50,250,Item,item_relevance,Random,1.45,0.7
Relevance Only,50,200,Item,occasion_appropriateness,Random,2.32,0.96
Relevance Only,50,250,Item,explanation_quality,Random,1.0,0.06
Relevance Only,50,50,Set,set_answer_relevance,Random,1.46,0.61
Relevance Only,50,250,Item,item_relevance,CLIP,3.5,1.0
Relevance Only,50,200,Item,occasion_appropriateness,CLIP,3.73,0.79
Relevance Only,50,250,Item,explanation_quality,CLIP,2.88,0.97
Relevance Only,50,50,Set,set_answer_relevance,CLIP,2.92,0.99
Relevance Only,50,250,Item,item_relevance,FashionCLIP,3.78,0.98
Relevance Only,50,200,Item,occasion_appropriateness,FashionCLIP,3.94,0.76
Relevance Only,50,250,Item,explanation_quality,FashionCLIP,3.07,0.95
Relevance Only,50,50,Set,set_answer_relevance,FashionCLIP,3.2,1.03
Relevance Only,50,50,Cross-Model,clip_win_rate,CLIP,12.0,
Relevance Only,50,50,Cross-Model,fashionclip_win_rate,FashionCLIP,82.0,
Relevance Only,50,50,Cross-Model,tie_rate,—,6.0,
