Tier,Rubric,Random,CLIP,FashionCLIP,CLIP_gain,FC_gain
Basic,explanation_quality,1.05,3.82,4.05,2.77,3.0
Basic,item_relevance,1.45,4.41,4.56,2.96,3.11
Basic,set_answer_relevance,1.25,3.9,4.22,2.65,2.97
Complex,explanation_quality,1.01,3.01,3.11,2.0,2.1
Complex,item_relevance,1.43,3.8,4.05,2.37,2.62
Complex,occasion_appropriateness,2.36,3.73,3.81,1.37,1.45
Complex,set_answer_relevance,1.44,3.18,3.28,1.74,1.84
Medium,explanation_quality,1.03,3.41,3.56,2.38,2.53
Medium,item_relevance,1.43,3.95,3.99,2.52,2.56
Medium,set_answer_relevance,1.18,3.2,3.32,2.02,2.14
