Tier,N,Scope,Rubric,Model,Mean,Std
Basic,1,Parser,parser_completeness,—,5.0,
Basic,1,Parser,parser_no_hallucination,—,5.0,
Basic,1,Parser,parser_occasion_detection,—,5.0,
Basic,1,Item,item_relevance,Random,1.0,0.0
Basic,1,Item,occasion_appropriateness,Random,,
Basic,1,Item,explanation_quality,Random,1.0,0.0
Basic,1,Set,set_answer_relevance,Random,1.0,
Basic,1,Item,item_relevance,CLIP,5.0,0.0
Basic,1,Item,occasion_appropriateness,CLIP,,
Basic,1,Item,explanation_quality,CLIP,4.4,0.55
Basic,1,Set,set_answer_relevance,CLIP,5.0,
Basic,1,Item,item_relevance,FashionCLIP,5.0,0.0
Basic,1,Item,occasion_appropriateness,FashionCLIP,,
Basic,1,Item,explanation_quality,FashionCLIP,4.2,0.45
Basic,1,Set,set_answer_relevance,FashionCLIP,5.0,
Basic,1,Cross-Model,clip_win_rate,CLIP,0.0,
Basic,1,Cross-Model,fashionclip_win_rate,FashionCLIP,100.0,
Basic,1,Cross-Model,tie_rate,—,0.0,
