Tier,Rubric,Random,CLIP,FashionCLIP,CLIP_gain,FC_gain
Basic,explanation_quality,1.0,3.48,3.44,2.48,2.44
Basic,item_relevance,1.4,4.26,4.31,2.86,2.91
Basic,set_answer_relevance,1.26,3.8,3.8,2.54,2.54
Complex,explanation_quality,1.0,2.73,2.74,1.73,1.74
Complex,item_relevance,1.36,3.64,3.91,2.28,2.55
Complex,occasion_appropriateness,2.48,3.96,4.12,1.48,1.64
Complex,set_answer_relevance,1.32,3.18,3.48,1.86,2.16
Medium,explanation_quality,1.02,2.82,2.96,1.8,1.94
Medium,item_relevance,1.31,3.71,3.89,2.4,2.58
Medium,set_answer_relevance,1.28,3.12,3.24,1.84,1.96
