scope,metric,mean,std,n
clip,item_relevance,3.3,0.9787,250
clip,occasion_appropriateness,3.6421,0.7617,190
clip,explanation_quality,2.832,0.8803,250
clip,set_answer_relevance,2.58,0.8827,50
fashion_clip,item_relevance,3.6,1.01,250
fashion_clip,occasion_appropriateness,3.9632,0.7301,190
fashion_clip,explanation_quality,3.064,0.9463,250
fashion_clip,set_answer_relevance,3.26,1.0063,50
random,item_relevance,1.5,0.7723,250
random,occasion_appropriateness,2.4263,0.9826,190
random,explanation_quality,1.0,0.0,250
random,set_answer_relevance,1.52,0.5799,50
parser,parser_completeness,3.62,1.1761,50
parser,parser_no_hallucination,4.92,0.3405,50
parser,parser_occasion_detection,4.36,1.3056,50
cross_model,clip_wins,6.0,,50
cross_model,fashionclip_wins,40.0,,50
cross_model,ties,4.0,,50
