Condition,N,Evaluated,Scope,Rubric,Model,Mean,Std
Relevance + Occasion,3,3,Parser,parser_completeness,—,3.33,0.58
Relevance + Occasion,3,3,Parser,parser_no_hallucination,—,5.0,0.0
Relevance + Occasion,3,3,Parser,parser_occasion_detection,—,5.0,0.0
Relevance + Occasion,3,15,Item,item_relevance,Random,1.2,0.56
Relevance + Occasion,3,15,Item,occasion_appropriateness,Random,2.07,0.59
Relevance + Occasion,3,15,Item,explanation_quality,Random,1.0,0.0
Relevance + Occasion,3,3,Set,set_answer_relevance,Random,1.0,0.0
Relevance + Occasion,3,15,Item,item_relevance,CLIP,3.0,0.93
Relevance + Occasion,3,15,Item,occasion_appropriateness,CLIP,3.33,0.72
Relevance + Occasion,3,15,Item,explanation_quality,CLIP,3.2,0.94
Relevance + Occasion,3,3,Set,set_answer_relevance,CLIP,2.33,0.58
Relevance + Occasion,3,15,Item,item_relevance,FashionCLIP,3.47,0.74
Relevance + Occasion,3,15,Item,occasion_appropriateness,FashionCLIP,3.8,0.56
Relevance + Occasion,3,15,Item,explanation_quality,FashionCLIP,2.87,1.06
Relevance + Occasion,3,3,Set,set_answer_relevance,FashionCLIP,3.0,1.0
Relevance + Occasion,3,3,Cross-Model,clip_win_rate,CLIP,0.0,
Relevance + Occasion,3,3,Cross-Model,fashionclip_win_rate,FashionCLIP,100.0,
Relevance + Occasion,3,3,Cross-Model,tie_rate,—,0.0,
Relevance Only,3,3,Parser,parser_completeness,—,4.0,1.0
Relevance Only,3,3,Parser,parser_no_hallucination,—,5.0,0.0
Relevance Only,3,3,Parser,parser_occasion_detection,—,5.0,0.0
Relevance Only,3,15,Item,item_relevance,Random,1.13,0.35
Relevance Only,3,15,Item,occasion_appropriateness,Random,1.73,0.7
Relevance Only,3,15,Item,explanation_quality,Random,1.0,0.0
Relevance Only,3,3,Set,set_answer_relevance,Random,1.0,0.0
Relevance Only,3,15,Item,item_relevance,CLIP,3.33,0.9
Relevance Only,3,15,Item,occasion_appropriateness,CLIP,3.47,0.64
Relevance Only,3,15,Item,explanation_quality,CLIP,2.87,0.83
Relevance Only,3,3,Set,set_answer_relevance,CLIP,2.0,0.0
Relevance Only,3,15,Item,item_relevance,FashionCLIP,3.67,0.72
Relevance Only,3,15,Item,occasion_appropriateness,FashionCLIP,3.73,0.46
Relevance Only,3,15,Item,explanation_quality,FashionCLIP,3.47,0.83
Relevance Only,3,3,Set,set_answer_relevance,FashionCLIP,3.0,1.0
Relevance Only,3,3,Cross-Model,clip_win_rate,CLIP,0.0,
Relevance Only,3,3,Cross-Model,fashionclip_win_rate,FashionCLIP,100.0,
Relevance Only,3,3,Cross-Model,tie_rate,—,0.0,
