scope,metric,mean,std,n
clip,item_relevance,3.0,0.9258,15
clip,occasion_appropriateness,3.3333,0.7237,15
clip,explanation_quality,3.2,0.9411,15
clip,set_answer_relevance,2.3333,0.5774,3
fashion_clip,item_relevance,3.4667,0.7432,15
fashion_clip,occasion_appropriateness,3.8,0.5606,15
fashion_clip,explanation_quality,2.8667,1.0601,15
fashion_clip,set_answer_relevance,3.0,1.0,3
random,item_relevance,1.2,0.5606,15
random,occasion_appropriateness,2.0667,0.5936,15
random,explanation_quality,1.0,0.0,15
random,set_answer_relevance,1.0,0.0,3
parser,parser_completeness,3.3333,0.5774,3
parser,parser_no_hallucination,5.0,0.0,3
parser,parser_occasion_detection,5.0,0.0,3
cross_model,clip_wins,0.0,,3
cross_model,fashionclip_wins,3.0,,3
cross_model,ties,0.0,,3
