product_url,product_name,mrp,color,reference_number,description,product_image,product_category
https://www.zara.com/es/en/limited-edition-zw-collection-wool-button-blazer-p02159727.html,ZW COLLECTION LIMITED EDITION WOOL BLAZER WITH BUTTON,89.95 EUR,MID-GREY,2159/727/809,ZARA WOMAN COLLECTION  Jacket made of 100% wool yarn. High neck and long sleeve with opening and buttons. Front welt pockets. Front button fastening.,https://static.zara.net/assets/public/7dba/b755/51cf4e83936a/0cd113822857/02159727809-e1/02159727809-e1.jpg?ts=1767963665417&w=4800,JACKETS
https://www.zara.com/es/en/asymmetric-check-blazer-with-wool-zw-collection-limited-edition-p02086827.html,ASYMMETRIC CHECK BLAZER WITH WOOL ZW COLLECTION LIMITED EDITION,109.00 EUR,STONE,2086/827/806,ZARA WOMAN COLLECTION  Blazer with main fabric made from wool yarn. Notched lapel collar and long sleeves. Asymmetric hem with back vent. Interior lining.,https://static.zara.net/assets/public/7b0a/c07a/31f04b23a859/dcdda1d4bedf/02086827806-e1/02086827806-e1.jpg?ts=1767613072665&w=4800,JACKETS
https://www.zara.com/es/en/leather-effect-waistcoat-with-tabs-p01255817.html,LEATHER EFFECT WAISTCOAT WITH TABS,35.95 EUR,BLUE,1255/817/407,Gilet with a high collar and armholes with tabs on the shoulders. Featuring side pockets and false flap pockets on the chest. Elasticated puffy hem. Tonal inner lining. Zip-up front with a snap-button placket.,https://static.zara.net/assets/public/f69e/4e4d/326441b78476/6aa21594a32c/01255817407-e1/01255817407-e1.jpg?ts=1767863829961&w=4800,JACKETS
https://www.zara.com/es/en/faux-leather-jacket-with-tabs-p08490701.html,LEATHER EFFECT JACKET WITH STRAPS,49.95 EUR,BROWN,8490/701/700,"Jacket with a high neck, long sleeves with pleated cuffs and shoulder tabs. Featuring side pockets, a gathered hem, a washed effect fabric detail and a tonal lining. Front zip fastening and concealed snap buttons.",https://static.zara.net/assets/public/e479/750e/787f4578ad44/bc96deb9e254/08490701700-e1/08490701700-e1.jpg?ts=1767863827853&w=4800,JACKETS
https://www.zara.com/es/en/asymmetric-check-blazer-with-wool-zw-collection-limited-edition-p02086827.html,ASYMMETRIC CHECK BLAZER WITH WOOL ZW COLLECTION LIMITED EDITION,109.00 EUR,STONE,2086/827/806,ZARA WOMAN COLLECTION  Blazer with main fabric made from wool yarn. Notched lapel collar and long sleeves. Asymmetric hem with back vent. Interior lining.,https://static.zara.net/assets/public/7b0a/c07a/31f04b23a859/dcdda1d4bedf/02086827806-e1/02086827806-e1.jpg?ts=1767613072665&w=4800,JACKETS
https://www.zara.com/es/en/breathable-water-repellent-jacket-ski-collection-p08073030.html,BREATHABLE WATER-REPELLENT SKI COLLECTION JACKET,59.95 EUR,BLACK,8073/030/800,"Close-fitting, lightweight jacket that facilitates layering. The fabric is breathable, which helps regulate body temperature and keeps the body cool for longer. In addition, it repels water, helping to prevent you from getting wet when exposed to light rain for short periods of time. Ruched top.  High collar and long sleeve. Front pockets with concealed zip fastening. Front zip and snap-button fastening.",https://static.zara.net/assets/public/5356/da2f/ad2a486288c3/a2ce19a874d5/08073030800-e1/08073030800-e1.jpg?ts=1764675577327&w=4800,JACKETS
https://www.zara.com/es/en/striped-jacket-with-zips-p02010868.html,STRIPED JACKET WITH ZIPS,35.95 EUR,BROWN,2010/868/700,Fitted jacket with a lapel collar and long sleeves with a concealed zip. Featuring topstitching detail and an inner lining. Fastens at the front with a double-ended zip.,https://static.zara.net/assets/public/8493/16b1/d5244c689462/7905194d0f04/02010868700-e1/02010868700-e1.jpg?ts=1767891378440&w=4800,JACKETS
https://www.zara.com/es/en/faux-leather-jacket-p04341742.html,FAUX LEATHER JACKET,59.95 EUR,BROWN,4341/742/700,Jacket with a stand-up collar and long sleeves with tab detail on the shoulders. Side pockets. Contrasting lining. Zip-up fastening with a snap-button placket on the front.,https://static.zara.net/assets/public/b592/c868/ccb44bc79108/6475fe067ccd/04341892700-e1/04341892700-e1.jpg?ts=1767956834028&w=4800,JACKETS
https://www.zara.com/es/en/oversize-faux-suede-bomber-jacket-with-hoodie-p08372212.html,OVERSIZE FAUX SUEDE BOMBER JACKET WITH HOODIE,49.95 EUR,KHAKI,8372/212/505,"Collared jacket featuring a detachable hoodie with snap buttons, long sleeves, front patch pockets, a shirred hem with interior elastic, and a front zip fastening concealed by a snap-button placket.",https://static.zara.net/assets/public/d595/0a3e/0c3c4899857f/a8c39c042606/08372212505-e1/08372212505-e1.jpg?ts=1767966446728&w=4800,JACKETS
https://www.zara.com/es/en/100-suede-leather-high-collar-jacket-p03046029.html,100% SUEDE LEATHER HIGH-NECK JACKET,129.00 EUR,CAMEL,3046/029/704,Jacket made of 100% leather. Featuring a high neck and long sleeves. Front pockets. Elasticated hem. Front fastening with a concealed zip and snap buttons.,https://static.zara.net/assets/public/2310/0935/b8ae47ed8694/453ce87319ad/03046029704-e1/03046029704-e1.jpg?ts=1767965463582&w=4800,JACKETS
